,answer,question_text,text_id,grade,score
0,Destiny would be a good friend beacu like to read too an destiny like too where about the the same size,Would you enjoy being friends with the main character or person in this text? Explain why or why not.,AUTJfAnEIe5XGTq1jvkynEr-Q,3,7
1,I think Mr.Popper would disagree because he was not absent minded in the middle of the story. As he was busy with the penguins in the basement ice rink where Billy and Janie were playing with all of the 12 penguins.,Which character do you think would disagree with the narrator of this story? Why would they disagree?,BASEvlmqaEWAE9oL3mOT2KG9JQ,3,9
2,i think that it has made me a better person because it is starting to make me read more often so now i am more interesting in reading more books now.,Do you think reading this text has made you a better person or a worse person? Why?,BASEAOH8j3w9WsZOxNQ9dzAUFQ,5,8
3,A part that I could not stop reading was when they were in the cave.A part that was boring was when they were going downstairs to the magic mirror,Tell us about one part of this book that totally bored you and another one that you could not stop reading.,AUToHuz362h0RJY-hPa7O6MDw,3,9
4,its not as good as the any of the other ones,Does this book remind you of the last book you read? Why or why not?,BASEasfHPZhAW77njjMyzqLqOw,1,3
5,I wuld rather be friends with the last character because the mosquito is evil. I enjoy characters that are kind.,"Would you rather be friends with the main character or person in the text you are reading now, or with the main character or person from the last text you read? Why?",BASEMzne0vBjgFUM6niwywRV5g,3,9
6,Tracking sunspots and predicting solar storms is what a space weather forecaster does. This contributes to the test because it tells about job that most people don't have. It seems to me like that would be a fun job top do when I grow up. I could sit in a chair all day watching the sun for solar flares. Who would not feel the need to do a job where you sit around all day?,"Flip through the part of the text you have read and drop your finger on a random sentence. Copy down the sentence, and then explain how it contributes to the text as a whole. (If there's no way you can connect this sentence to the rest of the text, randomly find a new sentence).",BASENMSJzWLV07CKMlT7yr2vPA,7,7
7,I rather be friends with the main character because she is a person who help people,"Would you rather be friends with the main character or person in the text you are reading now, or with the main character or person from the last text you read? Why?",BASE1sursGwC9Gcmr64d_7Z77A,4,7
8,He never gave up when he was turned into a mouse and he also was not crying at all during the hole story and last he killed the grand high witch,"The boy is never given a name in the story, yet we learn a lot about him. He endures the tragedy of losing both his parents at an early age, then he is turned into a mouse by the witches, yet he still has a positive attitude about life. Give three examples from the text that show he has a positive attitude about life.",BASEkAITp4dIe3STuqsJ7CGKUw,2,9
9,His friend and copying each other  and going to bed. They were very good friends .  He cared about  the hotel driving and being safe,What does the main character or person really care about?,BASEAM1_r5k4MpfL2PfLuQxruQ,2,9
10,I think this text has made me a better person while I read this book. This book has a lot of relationships that are different which helps me understand. I think this made me better because it helps me understand relationships that are complicated just like Jessie who struggles with understanding relationships.,Do you think reading this text has made you a better person or a worse person? Why?,BASE5AyoBJr1pcxWYKszjYPJhw,5,9
11,Katie brown is the narrator. i would choose Nikki J Maxwell because she uses so much expression in her narrating and adds a lot of quotation marks things in the end and also she is a great writer. She is always positive and is very silly.her narrating is very interesting too,"Who is the narrator in this book? If you had to choose a new narrator, who would it be?",BASEg5gS1h9muP0l0GLxHOsHDQ,3,10
12,no 1 i don't have any pets 2 i don't like sleding,Do you think you are like the main character or person? Why or why not?,BASEfCcjC2QXzf2AczXyBG-t_g,4,7
13,"They kept saying birthday cause the main idea not just Friday the 13th, it was also about a birthday party, also they kept saying presents because presents are for birthdays",Are any words or sentences repeated? Which ones? Why do you think the author did this?,BASEys9wenk21PX1PxUbR-fXRw,3,9
14,"I am so happy that there aren't as many poisonous snakes where I live and that it is winter when no snakes are around right now. Well there could still be snakes slithering around right now but you would rarely or never see them though. I love that snakes take care of the world too. So that we don't have tat many bugs, mice, and some of other things that us as people often don't care for at times.",What part of the text made you the happiest? Why do you think you were so happy at this moment?,MANUmrds4Wx4Hw0YkR-wQVf2QQ,4,10
15,no because you was being mean to people on the bus and that's why the story is worse because the person because be mean to her friends and her friends were getting hurt by her and bullied and she is not good in the book,Do you think reading this text has made you a better person or a worse person? Why?,BASE7MX-Ksxq81E1Sc4qr9-XVA,3,6
16,yes because it was very detailed funny and happy/sad at the same time.I think this is a good book for a school/childrens library.,Will you ever read this book again? Why?,BASEshoJRmiwe2OdV8j3W1Mctw,0,9
17,I hated the part where she was in the air port it wasnt interesting. When Robbie was drowning was the most intense,"Describe one part of this text that totally bored you, and another part that you could not stop reading. Include your reasons why for both.",AUT2F_wA0tHwqo3mTza35gKWg,7,6
18,he like abcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc.,What are some ways that the main character or person changed during the text?,BASE3BPQQ237cdAsJw-pJ-_I2Q,1,0
19,ghosts in new places are more scary than old. i chose that name because i like it a lot there is no  other reanson why i like it,Come up with a new name for this book.,BASE8Ezhzvdd13q_9bNuLcXZZg,2,9
20,"I believe they have a wonderful relationship. Moose loves his dad and his dad loves him. Moose thinks his dad is the only one that understands him. His dad is a guard at Alcatraz. Moose likes to play baseball with his dad, but his dad is not around. His dad is always making jokes and playing games.",How would you describe the relationship between Moose and his dad? Support your response with evidence from the text.,BASEdQWOaqvxIKc0AD1xWYC_sQ,6,10
21,David is my favorite character.because it gets in trouble all the time.my favorite part was david being good.,"Who is your favorite character or person, and why?",BASE-W9_8VNXPiAPpHAajdmNng,2,9
22,i will help cheyenne because she doesn't know so much stuff like getting out of things and because if something happens she is going to be positive and they will do something to her so i would her her.,"Based only on how the characters or people communicate with each other, which character or person would you turn to for help if you were in trouble? Why do you trust them over others?",AUTs3NPHFNEpOdWMicXCLVBLg,7,6
23,"I think that Bradley was a bully at the first section of the book ""There's a boy in the girl's bathroom!!!!!""At the maybe last part of the book Bradley Changes because of ""Carla Davis. He changes because Carla shows Bradley so much kindness Bradley changes the way he acts and how he sees others and also changed because of  jack fishermen.",What was the main character or person like at the beginning of the book and at the end of the book? What caused this person to change between the beginning and the end of the book?,BASE0T-701KYmeUkzaQ5SZMAoQ,4,10
24,"Their friendship was strong, like nothing would tare them apart. 
It was difficult to believe that they had a strong bond together.",Describe a friendship that existed between two characters or people in this text. Did these two make each other better or worse? Support your answer.,MANUmSzU71_0-4R4mGCDFS0Uog,6,5
25,I would rather be with the book.I read before because Percy Jackson goes on different journeys and fights bad people with a pen that transforms into a sword.I wouldn't be with the book i am reading now because the book is diary and a wimpy kid and Greg Heffley gets in to much trouble.,"Would you rather live in the world described in the text you are reading now, or in the world described in the last text you read? Why?",AUTWzkIPjkfkBykwLwFc1MMEA,5,9
26,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,Find a line from the text that would make a good title. Why would this line be a good new title for the text?,BASEd1AOyZXNco7p7V3DjsN5bw,4,0
